xmin,ymin,xmax,ymax,label,score,geometry,image_path
317.61758,181.13274,345.7062,210.81721,Tree,0.6810083,"POLYGON ((345.7062072753906 181.1327362060547, 345.7062072753906 210.8172149658203, 317.6175842285156 210.8172149658203, 317.6175842285156 181.1327362060547, 345.7062072753906 181.1327362060547))",OSBS_029.tif
18.386002,346.02402,57.134827,388.38638,Tree,0.6689469,"POLYGON ((57.13482666015625 346.0240173339844, 57.13482666015625 388.3863830566406, 18.386001586914062 388.3863830566406, 18.386001586914062 346.0240173339844, 57.13482666015625 346.0240173339844))",OSBS_029.tif
272.59326,330.20557,305.63025,367.76294,Tree,0.6622126,"POLYGON ((305.6302490234375 330.20556640625, 305.6302490234375 367.762939453125, 272.59326171875 367.762939453125, 272.59326171875 330.20556640625, 305.6302490234375 330.20556640625))",OSBS_029.tif
277.7114,0.087501526,311.46896,31.8166,Tree,0.6509446,"POLYGON ((311.4689636230469 0.0875015258789062, 311.4689636230469 31.816600799560547, 277.7113952636719 31.816600799560547, 277.7113952636719 0.0875015258789062, 311.4689636230469 0.0875015258789062))",OSBS_029.tif
195.09113,339.49405,227.2514,371.75546,Tree,0.64326286,"POLYGON ((227.25140380859375 339.4940490722656, 227.25140380859375 371.7554626464844, 195.09112548828125 371.7554626464844, 195.09112548828125 339.4940490722656, 227.25140380859375 339.4940490722656))",OSBS_029.tif
190.88474,78.82976,244.54272,138.51526,Tree,0.6292765,"POLYGON ((244.542724609375 78.82975769042969, 244.542724609375 138.5152587890625, 190.88473510742188 138.5152587890625, 190.88473510742188 78.82975769042969, 244.542724609375 78.82975769042969))",OSBS_029.tif
0.07339668,143.98192,44.322136,208.43446,Tree,0.62068653,"POLYGON ((44.32213592529297 143.98191833496094, 44.32213592529297 208.43446350097656, 0.0733966827392578 208.43446350097656, 0.0733966827392578 143.98191833496094, 44.32213592529297 143.98191833496094))",OSBS_029.tif
184.99039,256.2938,229.69159,301.77774,Tree,0.5999894,"POLYGON ((229.69158935546875 256.2937927246094, 229.69158935546875 301.7777404785156, 184.99038696289062 301.7777404785156, 184.99038696289062 256.2937927246094, 229.69158935546875 256.2937927246094))",OSBS_029.tif
382.12888,264.4313,400.0,298.96048,Tree,0.59535676,"POLYGON ((400 264.4313049316406, 400 298.9604797363281, 382.1288757324219 298.9604797363281, 382.1288757324219 264.4313049316406, 400 264.4313049316406))",OSBS_029.tif
234.1343,296.5451,273.92224,339.50092,Tree,0.58857816,"POLYGON ((273.9222412109375 296.54510498046875, 273.9222412109375 339.50091552734375, 234.13429260253906 339.50091552734375, 234.13429260253906 296.54510498046875, 273.9222412109375 296.54510498046875))",OSBS_029.tif
289.372,83.09029,332.3022,128.22325,Tree,0.5728164,"POLYGON ((332.30218505859375 83.09028625488281, 332.30218505859375 128.22325134277344, 289.37200927734375 128.22325134277344, 289.37200927734375 83.09028625488281, 332.30218505859375 83.09028625488281))",OSBS_029.tif
178.36401,372.0353,206.77496,398.52194,Tree,0.55002713,"POLYGON ((206.77496337890625 372.0353088378906, 206.77496337890625 398.5219421386719, 178.364013671875 398.5219421386719, 178.364013671875 372.0353088378906, 206.77496337890625 372.0353088378906))",OSBS_029.tif
327.42743,119.70262,359.0022,151.91115,Tree,0.5437886,"POLYGON ((359.002197265625 119.70262145996094, 359.002197265625 151.91114807128906, 327.42742919921875 151.91114807128906, 327.42742919921875 119.70262145996094, 359.002197265625 119.70262145996094))",OSBS_029.tif
0.0,48.86576,30.6648,106.84646,Tree,0.54267895,"POLYGON ((30.6648006439209 48.865760803222656, 30.6648006439209 106.8464584350586, 0 106.8464584350586, 0 48.865760803222656, 30.6648006439209 48.865760803222656))",OSBS_029.tif
159.84486,167.09445,197.59755,216.8505,Tree,0.53171206,"POLYGON ((197.59754943847656 167.09445190429688, 197.59754943847656 216.85049438476562, 159.84486389160156 216.85049438476562, 159.84486389160156 167.09445190429688, 197.59754943847656 167.09445190429688))",OSBS_029.tif
374.30896,207.69911,398.1941,234.51698,Tree,0.5311875,"POLYGON ((398.194091796875 207.69911193847656, 398.194091796875 234.51698303222656, 374.3089599609375 234.51698303222656, 374.3089599609375 207.69911193847656, 398.194091796875 207.69911193847656))",OSBS_029.tif
58.799572,294.70367,101.15817,338.7265,Tree,0.5303383,"POLYGON ((101.15817260742188 294.70367431640625, 101.15817260742188 338.72650146484375, 58.7995719909668 338.72650146484375, 58.7995719909668 294.70367431640625, 101.15817260742188 294.70367431640625))",OSBS_029.tif
3.5411434,216.68593,40.623413,251.76506,Tree,0.5261629,"POLYGON ((40.6234130859375 216.68592834472656, 40.6234130859375 251.7650604248047, 3.5411434173583984 251.7650604248047, 3.5411434173583984 216.68592834472656, 40.6234130859375 216.68592834472656))",OSBS_029.tif
40.38656,0.923996,94.05778,49.124104,Tree,0.5241568,"POLYGON ((94.05777740478516 0.9239959716796875, 94.05777740478516 49.12410354614258, 40.386558532714844 49.12410354614258, 40.386558532714844 0.9239959716796875, 94.05777740478516 0.9239959716796875))",OSBS_029.tif
104.22014,181.793,155.8947,243.96982,Tree,0.5238664,"POLYGON ((155.8946990966797 181.79299926757812, 155.8946990966797 243.96981811523438, 104.22013854980469 243.96981811523438, 104.22013854980469 181.79299926757812, 155.8946990966797 181.79299926757812))",OSBS_029.tif
286.47205,137.90547,316.48486,166.34172,Tree,0.52252537,"POLYGON ((316.48486328125 137.9054718017578, 316.48486328125 166.3417205810547, 286.4720458984375 166.3417205810547, 286.4720458984375 137.9054718017578, 316.48486328125 137.9054718017578))",OSBS_029.tif
228.21191,388.88034,252.53668,399.85873,Tree,0.5179799,"POLYGON ((252.53668212890625 388.8803405761719, 252.53668212890625 399.8587341308594, 228.2119140625 399.8587341308594, 228.2119140625 388.8803405761719, 252.53668212890625 388.8803405761719))",OSBS_029.tif
369.09406,10.392019,399.72504,54.76506,Tree,0.5173807,"POLYGON ((399.72503662109375 10.392019271850586, 399.72503662109375 54.76506042480469, 369.09405517578125 54.76506042480469, 369.09405517578125 10.392019271850586, 399.72503662109375 10.392019271850586))",OSBS_029.tif
55.17817,189.95119,89.721565,232.39742,Tree,0.5010405,"POLYGON ((89.72156524658203 189.95118713378906, 89.72156524658203 232.3974151611328, 55.17816925048828 232.3974151611328, 55.17816925048828 189.95118713378906, 89.72156524658203 189.95118713378906))",OSBS_029.tif
311.96368,6.9099503,344.62372,40.52404,Tree,0.50088793,"POLYGON ((344.62371826171875 6.909950256347656, 344.62371826171875 40.52404022216797, 311.96368408203125 40.52404022216797, 311.96368408203125 6.909950256347656, 344.62371826171875 6.909950256347656))",OSBS_029.tif
75.84384,144.14178,114.228775,182.13724,Tree,0.48961264,"POLYGON ((114.22877502441406 144.14178466796875, 114.22877502441406 182.13723754882812, 75.84384155273438 182.13723754882812, 75.84384155273438 144.14178466796875, 114.22877502441406 144.14178466796875))",OSBS_029.tif
365.9745,118.46243,389.036,142.2248,Tree,0.48707408,"POLYGON ((389.0360107421875 118.46243286132812, 389.0360107421875 142.22479248046875, 365.9744873046875 142.22479248046875, 365.9744873046875 118.46243286132812, 389.0360107421875 118.46243286132812))",OSBS_029.tif
118.47355,68.09478,147.09695,96.8511,Tree,0.48538882,"POLYGON ((147.09695434570312 68.09477996826172, 147.09695434570312 96.8510971069336, 118.47354888916016 96.8510971069336, 118.47354888916016 68.09477996826172, 147.09695434570312 68.09477996826172))",OSBS_029.tif
145.48512,386.4747,176.13646,400.0,Tree,0.48134196,"POLYGON ((176.13645935058594 386.4747009277344, 176.13645935058594 400, 145.48512268066406 400, 145.48512268066406 386.4747009277344, 176.13645935058594 386.4747009277344))",OSBS_029.tif
0.0,258.19547,21.449785,291.4158,Tree,0.45817345,"POLYGON ((21.449785232543945 258.1954650878906, 21.449785232543945 291.4158020019531, 0 291.4158020019531, 0 258.1954650878906, 21.449785232543945 258.1954650878906))",OSBS_029.tif
101.96245,30.345678,131.03352,63.700043,Tree,0.41484976,"POLYGON ((131.0335235595703 30.345678329467773, 131.0335235595703 63.700042724609375, 101.96244812011719 63.700042724609375, 101.96244812011719 30.345678329467773, 131.0335235595703 30.345678329467773))",OSBS_029.tif
390.24463,375.0784,399.78992,399.98483,Tree,0.4092269,"POLYGON ((399.7899169921875 375.0783996582031, 399.7899169921875 399.9848327636719, 390.24462890625 399.9848327636719, 390.24462890625 375.0783996582031, 399.7899169921875 375.0783996582031))",OSBS_029.tif
88.01031,365.33286,107.5935,387.79544,Tree,0.40024436,"POLYGON ((107.59349822998047 365.3328552246094, 107.59349822998047 387.7954406738281, 88.01030731201172 387.7954406738281, 88.01030731201172 365.3328552246094, 107.59349822998047 365.3328552246094))",OSBS_029.tif
231.86676,243.16135,253.03409,263.42044,Tree,0.3957191,"POLYGON ((253.03408813476562 243.16134643554688, 253.03408813476562 263.4204406738281, 231.86676025390625 263.4204406738281, 231.86676025390625 243.16134643554688, 253.03408813476562 243.16134643554688))",OSBS_029.tif
388.87497,175.62169,399.913,200.21046,Tree,0.38881826,"POLYGON ((399.9129943847656 175.62168884277344, 399.9129943847656 200.21046447753906, 388.8749694824219 200.21046447753906, 388.8749694824219 175.62168884277344, 399.9129943847656 175.62168884277344))",OSBS_029.tif
101.736824,124.70603,121.384346,146.2006,Tree,0.38785133,"POLYGON ((121.38434600830078 124.7060317993164, 121.38434600830078 146.2006072998047, 101.73682403564453 146.2006072998047, 101.73682403564453 124.7060317993164, 121.38434600830078 124.7060317993164))",OSBS_029.tif
384.21832,321.02264,400.0,353.01917,Tree,0.3847512,"POLYGON ((400 321.02264404296875, 400 353.0191650390625, 384.21832275390625 353.0191650390625, 384.21832275390625 321.02264404296875, 400 321.02264404296875))",OSBS_029.tif
71.8542,250.83562,116.764755,299.03122,Tree,0.38330722,"POLYGON ((116.76475524902344 250.8356170654297, 116.76475524902344 299.0312194824219, 71.85420227050781 299.0312194824219, 71.85420227050781 250.8356170654297, 116.76475524902344 250.8356170654297))",OSBS_029.tif
130.21448,99.74304,183.59085,151.94797,Tree,0.36836782,"POLYGON ((183.59085083007812 99.7430419921875, 183.59085083007812 151.94796752929688, 130.2144775390625 151.94796752929688, 130.2144775390625 99.7430419921875, 183.59085083007812 99.7430419921875))",OSBS_029.tif
381.3843,75.71098,400.0,108.897415,Tree,0.34975705,"POLYGON ((400 75.71098327636719, 400 108.89741516113281, 381.3843078613281 108.89741516113281, 381.3843078613281 75.71098327636719, 400 75.71098327636719))",OSBS_029.tif
0.09732056,200.8577,8.154306,229.28748,Tree,0.33102784,"POLYGON ((8.154306411743164 200.85769653320312, 8.154306411743164 229.2874755859375, 0.097320556640625 229.2874755859375, 0.097320556640625 200.85769653320312, 8.154306411743164 200.85769653320312))",OSBS_029.tif
312.81546,334.45892,337.46872,358.9124,Tree,0.32185847,"POLYGON ((337.4687194824219 334.45892333984375, 337.4687194824219 358.91241455078125, 312.8154602050781 358.91241455078125, 312.8154602050781 334.45892333984375, 337.4687194824219 334.45892333984375))",OSBS_029.tif
331.01093,88.34979,355.0843,112.748215,Tree,0.3139608,"POLYGON ((355.08428955078125 88.34979248046875, 355.08428955078125 112.74821472167969, 331.01092529296875 112.74821472167969, 331.01092529296875 88.34979248046875, 355.08428955078125 88.34979248046875))",OSBS_029.tif
0.3080125,375.08896,8.611399,398.00217,Tree,0.31328657,"POLYGON ((8.611398696899414 375.0889587402344, 8.611398696899414 398.0021667480469, 0.3080124855041504 398.0021667480469, 0.3080124855041504 375.0889587402344, 8.611398696899414 375.0889587402344))",OSBS_029.tif
162.20432,264.20712,188.10788,292.89273,Tree,0.30330768,"POLYGON ((188.10787963867188 264.2071228027344, 188.10787963867188 292.8927307128906, 162.20431518554688 292.8927307128906, 162.20431518554688 264.2071228027344, 188.10787963867188 264.2071228027344))",OSBS_029.tif
